2025/8/23 ネットワーク、セキュリティ100語　頻出基礎30語＋混同ペア20語＋補強50語 by claudesonnet4
番号,用語,定義,例,注記
N026,サブネット,IPネットワークの分割単位,192.168.1.0/24のような表記,ネットワーク部とホスト部、CIDR(N027)
N027,CIDR,IPアドレス表記方法,192.168.1.0/24の/24部分,Classless Inter-Domain Routing、サブネット(N026)
N028,ブロードキャスト,同一ネットワーク全体への通信,ARP要求、DHCP要求時の通信,全端末への一斉送信、ユニキャストとの対比
N029,ARP,IPアドレスからMACアドレス取得,同一LAN内での通信開始時,Address Resolution Protocol、MAC(N017)
N030,ICMP,IP通信のエラー通知プロトコル,pingコマンドでの疎通確認,Internet Control Message Protocol、ping(N031)
N031,ping,ネットワーク疎通確認コマンド,ping 8.8.8.8での接続テスト,ICMP(N030)を使用、疎通テスト
N032,traceroute,通信経路表示コマンド,目的地までの中継ルーター表示,経路追跡、ネットワーク障害解析
N033,NTP,時刻同期プロトコル,サーバー間での時刻合わせ,Network Time Protocol、時刻同期
N034,SNMP,ネットワーク機器監視プロトコル,ルーターやスイッチの状態監視,Simple Network Management Protocol
N035,Telnet,遠隔ログインプロトコル,サーバーへのコマンドライン接続,平文通信、SSH(N036)との対比
N036,SSH,暗号化遠隔ログインプロトコル,Linuxサーバーへの安全な接続,Secure Shell、Telnet(N035)との対比
N037,SFTP,SSH暗号化ファイル転送,暗号化されたファイルアップロード,SSH File Transfer Protocol、FTP(N005)との違い
N038,QoS,通信品質制御技術,動画会議の帯域優先制御,Quality of Service、帯域制御
N039,帯域幅,データ転送速度の上限,100Mbps、1Gbpsのような回線速度,bps単位、通信速度の指標
N040,レイテンシ,通信遅延時間,pingの応答時間、10ms、50ms,遅延、応答時間、パフォーマンス指標
N041,CSMA/CD,有線LANの衝突検出方式,Ethernetでのデータ送信制御,Carrier Sense Multiple Access、衝突回避
N042,Ethernet,有線LANの標準規格,オフィスでのLANケーブル接続,IEEE 802.3、有線LAN技術
N043,Wi-Fi,無線LAN技術,スマートフォン、PCの無線接続,IEEE 802.11、無線LAN
N044,WPA2,Wi-Fi暗号化方式,家庭用無線LANのセキュリティ設定,Wi-Fi Protected Access 2、WEP(N045)との違い
N045,WEP,古いWi-Fi暗号化方式,初期の無線LAN暗号化技術,Wired Equivalent Privacy、WPA2(N044)との違い
N046,SSID,無線LANネットワーク名,Buffalo-A-1234のような識別名,Service Set Identifier、アクセスポイント識別
N047,Bluetooth,近距離無線通信技術,スマートフォンとイヤホン接続,2.4GHz帯、ペアリング
N048,PPP,点対点通信プロトコル,ダイヤルアップ、ADSLでの接続,Point-to-Point Protocol、認証機能
N049,PPPoE,EthernetでのPPP接続,家庭用インターネット接続設定,PPP over Ethernet、PPP(N048)との関係
N050,MPLS,高速パケット転送技術,企業向け専用線サービス,Multi-Protocol Label Switching、ラベルスイッチング
N051,BGP,AS間の経路制御プロトコル,インターネットプロバイダ間の経路制御,Border Gateway Protocol、外部ゲートウェイ
N052,OSPF,内部ネットワーク経路制御プロトコル,企業内ルーター間の最短経路計算,Open Shortest Path First、内部ゲートウェイ
N053,RIP,距離ベクトル型経路制御,小規模ネットワークでの経路制御,Routing Information Protocol、ホップ数15制限
N054,IGMP,マルチキャスト制御プロトコル,動画配信での同時配信制御,Internet Group Management Protocol
N055,STP,スイッチループ防止技術,冗長構成での無限ループ防止,Spanning Tree Protocol、ブリッジループ防止
N056,VRRP,ルーター冗長化プロトコル,メインルーター障害時の自動切替,Virtual Router Redundancy Protocol
N057,CDN,コンテンツ配信ネットワーク,動画配信サイトの高速化技術,Content Delivery Network、キャッシュ配信
N058,ロードバランサー,負荷分散装置,複数サーバーへのアクセス分散,負荷分散、高可用性
N059,DNSサーバー,ドメイン名解決サーバー,8.8.8.8のようなパブリックDNS,権威サーバーとキャッシュサーバー、DNS(N002)
N060,DHCPサーバー,IP自動割当サーバー,ルーター内蔵のDHCP機能,IPプール管理、DHCP(N001)
N061,Webサーバー,Webページ提供サーバー,Apache、Nginx等のHTTPサーバー,HTTPリクエスト処理、HTTP(N003)
N062,メールサーバー,メール送受信サーバー,ExchangeやPostfixでのメール処理,SMTP/POP3処理、SMTP(N006)
N063,プロキシサーバー,代理アクセスサーバー,社内インターネット接続の中継,フィルタリング機能、プロキシ(N023)
N064,NAS,ネットワーク接続ストレージ,社内ファイル共有サーバー,Network Attached Storage、ファイル共有
N065,UPS,無停電電源装置,サーバー停電対策用バックアップ電源,Uninterruptible Power Supply、電源バックアップ
N066,PoE,LANケーブル給電技術,IP電話、監視カメラへの電力供給,Power over Ethernet、電力とデータ同時伝送
N067,RADIUS,認証サーバープロトコル,企業Wi-Fiでのユーザー認証,Remote Authentication Dial In User Service
N068,LDAP,ディレクトリサービスプロトコル,Active Directoryでのユーザー管理,Lightweight Directory Access Protocol
N069,NFS,ネットワークファイルシステム,UNIX/Linuxでのファイル共有,Network File System、リモートマウント
N070,SMB/CIFS,Windowsファイル共有プロトコル,Windows共有フォルダーアクセス,Server Message Block、ファイル共有
N071,FCoE,EthernetでのFC通信,データセンターでのSAN構築,Fibre Channel over Ethernet、ストレージ
N072,iSCSI,IPネットワークでのSCSI通信,サーバーとストレージ間のデータ転送,Internet SCSI、ネットワークストレージ
N073,VXLAN,仮想ネットワーク拡張技術,クラウドでの仮想ネットワーク構築,Virtual Extensible LAN、オーバーレイ
N074,GRE,トンネリングプロトコル,拠点間VPN接続での暗号化トンネル,Generic Routing Encapsulation、カプセル化
N075,IPsec,IP層セキュリティプロトコル,拠点間VPNでの通信暗号化,IP Security、VPN(N015)との関係
N076,L2TP,レイヤー2トンネリング,リモートアクセスVPN接続,Layer 2 Tunneling Protocol、PPP(N048)
N077,OpenVPN,オープンソースVPN,SSL/TLS使用の汎用VPN接続,SSL-VPN、TLS(N016)使用
N078,WireGuard,軽量VPNプロトコル,高速で簡単設定のVPN接続,次世代VPN、シンプル設定
N079,SD-WAN,ソフトウェア定義WAN,クラウド時代のWAN最適化技術,Software Defined WAN、帯域最適化
N080,NFV,ネットワーク機能仮想化,ルーター・FWの仮想化技術,Network Functions Virtualization、仮想化
N081,SDN,ソフトウェア定義ネットワーク,プログラマブルなネットワーク制御,Software Defined Networking、集中制御
N082,OpenFlow,SDN制御プロトコル,コントローラーとスイッチ間の制御通信,SDN(N081)の実装プロトコル
N083,SNTP,簡易時刻同期プロトコル,クライアントPCでの時刻同期,Simple NTP、NTP(N033)との対比
N084,Syslog,システムログ送信プロトコル,サーバーログの集中管理,ログ収集、システム監視
N085,Netflow,トラフィック分析プロトコル,ネットワーク使用状況の可視化,Cisco開発、トラフィック監視
N086,sFlow,サンプリングフロー監視,ネットワーク性能監視,Sampling Flow、パフォーマンス監視
N087,mDNS,マルチキャストDNS,同一LAN内での機器名前解決,multicast DNS、Bonjour、Zeroconf
N088,UPnP,プラグアンドプレイネットワーク,家庭用機器の自動ネットワーク設定,Universal Plug and Play、自動設定
N089,DLNA,家庭内機器連携規格,テレビとPCでの動画ファイル共有,Digital Living Network Alliance、メディア共有
N090,Wake-on-LAN,ネットワーク経由PC起動,リモートからのPC電源ON制御,WoL、マジックパケット
N091,Jumbo Frame,大サイズEthernetフレーム,サーバー間高速データ転送での使用,9000バイト、ギガビット環境
N092,LACP,リンク集約制御プロトコル,複数LANケーブルでの帯域拡張,Link Aggregation Control Protocol、802.3ad
N093,EtherChannel,Cisco独自リンク集約,複数ポート束ねでの帯域拡張,LACP(N092)との対比、Cisco独自
N094,HSRP,Ciscoルーター冗長化,メインルーター障害時の自動切替,Hot Standby Router Protocol、VRRP(N056)
N095,GLBP,Gateway負荷分散プロトコル,複数ルーターでの負荷分散,Gateway Load Balancing Protocol、Cisco
N096,EIGRP,Cisco独自経路制御,企業内ルーター間の高速経路制御,Enhanced IGRP、Cisco独自、OSPF(N052)
N097,IS-IS,ISO標準経路制御プロトコル,大規模ネットワークでの経路制御,Intermediate System to Intermediate System
N098,PIM,マルチキャスト経路制御,動画配信での効率的配信制御,Protocol Independent Multicast、IGMP(N054)
N099,RSVP,帯域予約プロトコル,音声・動画通信での品質保証,Resource reSerVation Protocol、QoS(N038)
N100,MPLS-VPN,MPLS使用の企業VPN,キャリア提供の高品質企業間接続,MPLS(N050)技術、L3VPN
S001,AES,共通鍵暗号の標準方式,Wi-Fi WPA2暗号化、ファイル暗号化ソフト,Advanced Encryption Standard、DES(S002)との違い
S002,DES,古い共通鍵暗号方式,過去のファイル暗号化で使用,Data Encryption Standard、AES(S001)との違い
S003,RSA,公開鍵暗号の代表方式,HTTPSでの鍵交換、デジタル署名,RSA暗号、AES(S001)との対比
S004,SHA,ハッシュ関数の標準,パスワード保存、ファイル整合性確認,Secure Hash Algorithm、MD5(S005)との対比
S005,MD5,古いハッシュ関数,ファイルのチェックサム計算,Message Digest 5、SHA(S004)との対比
S006,SSL,暗号化通信プロトコル,HTTPSでのWebサイト暗号化,Secure Sockets Layer、TLS(S007)との関係
S007,TLS,SSL後継の暗号化プロトコル,現在のHTTPS暗号化通信,Transport Layer Security、SSL(S006)との関係
S008,VPN,仮想専用ネットワーク,在宅勤務での社内ネットワーク接続,Virtual Private Network、暗号化トンネル
S009,ファイアウォール,通信制御セキュリティ機器,外部からの不正アクセス遮断,パケットフィルタリング、UTM(S010)
S010,UTM,統合脅威管理装置,FW・IPS・AV機能統合セキュリティ,Unified Threat Management、ファイアウォール(S009)
S011,IDS,侵入検知システム,不正アクセスの監視・検知,Intrusion Detection System、IPS(S012)との対比
S012,IPS,侵入防止システム,不正アクセスの検知・遮断,Intrusion Prevention System、IDS(S011)との対比
S013,WAF,Webアプリ攻撃防御,SQLインジェクション等の攻撃防御,Web Application Firewall、アプリ層防御
S014,DLP,データ漏洩防止,機密情報の外部送信監視・遮断,Data Loss Prevention、情報漏洩対策
S015,SIEM,セキュリティ情報統合管理,複数機器のログ分析・相関解析,Security Information Event Management
S016,SOC,セキュリティ監視センター,24時間体制でのセキュリティ監視,Security Operation Center、運用体制
S017,CSIRT,インシデント対応チーム,セキュリティ事故発生時の対応組織,Computer Security Incident Response Team
S018,認証,本人確認の仕組み,ユーザーID・パスワードでのログイン,本人性確認、認可(S019)との対比
S019,認可,権限付与の仕組み,ファイルアクセス権限の設定,アクセス制御、認証(S018)との対比
S020,多要素認証,複数要素での本人確認,パスワード+SMSでの二段階認証,MFA、Single Factor認証との対比
S021,生体認証,生体情報での本人確認,指紋認証、顔認証でのスマホロック解除,バイオメトリクス認証、物理的特徴利用
S022,PKI,公開鍵基盤,デジタル証明書での信頼性確保,Public Key Infrastructure、証明書管理
S023,CA,認証局,デジタル証明書の発行機関,SSL証明書発行会社,Certificate Authority、PKI(S022)の構成要素
S024,デジタル署名,電子的な署名技術,電子契約書での本人確認・改ざん検証,公開鍵暗号利用、なりすまし防止
S025,デジタル証明書,電子的な身分証明書,WebサイトのSSL証明書,X.509証明書、CA(S023)が発行
S026,CRL,証明書失効リスト,無効化されたデジタル証明書一覧,Certificate Revocation List、証明書管理
S027,OCSP,証明書状態確認プロトコル,デジタル証明書の有効性リアルタイム確認,Online Certificate Status Protocol
S028,フィッシング,偽サイトでの情報詐取,偽銀行サイトでのログイン情報窃取,なりすましサイト、ソーシャルエンジニアリング
S029,スパム,迷惑メール,出会い系サイト、偽ブランド販売の大量メール,Spam、メール爆弾攻撃
S030,マルウェア,悪意あるソフトウェア,ウイルス、トロイの木馬等の総称,Malicious Software、悪意あるプログラム
S031,ウイルス,自己増殖する悪意あるプログラム,USBメモリ経由でのPC感染拡散,コンピューターウイルス、マルウェア(S030)の一種
S032,ワーム,ネットワーク感染型ウイルス,インターネット経由での自動感染拡散,自立増殖、ウイルス(S031)との違い
S033,トロイの木馬,偽装された悪意あるプログラム,ゲームソフトに偽装したバックドア,正規ソフト偽装、Remote Access Tool
S034,ランサムウェア,身代金要求型マルウェア,ファイル暗号化して復号代金要求,Ransomware、データ人質、金銭要求
S035,スパイウェア,情報窃取型マルウェア,キーボード入力情報の外部送信,個人情報収集、キーロガー
S036,ボットネット,乗っ取りPC群,DDoS攻撃に悪用される感染PC軍団,Bot Network、C&Cサーバー制御
S037,APT,持続的標的型攻撃,特定組織への長期間潜伏攻撃,Advanced Persistent Threat、標的型攻撃
S038,ゼロデイ攻撃,未知脆弱性を悪用した攻撃,セキュリティパッチ未適用の穴を突く,Zero-day Attack、既知攻撃との対比
S039,SQLインジェクション,データベース不正操作攻撃,入力フォームからのDB不正アクセス,SQL Injection、Webアプリ攻撃
S040,XSS,クロスサイトスクリプティング,掲示板等での悪意あるスクリプト実行,Cross Site Scripting、Webアプリ攻撃
S041,CSRF,クロスサイトリクエストフォージェリ,利用者の意図しない操作実行攻撃,Cross Site Request Forgeries、Web攻撃
S042,DoS攻撃,サービス拒否攻撃,サーバーへの大量アクセスでサービス停止,Denial of Service、DDoS(S043)との対比
S043,DDoS攻撃,分散サービス拒否攻撃,複数PCからの同時大量アクセス攻撃,Distributed DoS、DoS攻撃(S042)との対比
S044,MITM攻撃,中間者攻撃,通信経路での盗聴・改ざん攻撃,Man In The Middle、通信傍受
S045,セッションハイジャック,セッション乗っ取り攻撃,他人のログイン状態を奪取,Session ID窃取、なりすましログイン
S046,パスワードクラック,パスワード解析攻撃,総当たり攻撃でのパスワード特定,ブルートフォース攻撃、辞書攻撃
S047,ソーシャルエンジニアリング,人的弱点を突く攻撃,電話でのパスワード聞き出し,Social Engineering、技術外攻撃
S048,ショルダーハッキング,覗き見攻撃,ATM操作時の暗証番号盗み見,Shoulder Surfing、物理的盗み見
S049,スキミング,磁気カード情報窃取,ATMでのクレジットカード情報複製,カード偽造、物理的情報窃取
S050,バッファオーバーフロー,メモリ溢れ攻撃,プログラムのメモリ境界を超えた攻撃,Buffer Overflow、メモリ破損攻撃
S051,暗号化,データを暗号文に変換,機密ファイルの第三者読解不可化,データ保護、復号(S052)との対比
S052,復号,暗号文を平文に変換,暗号化ファイルの元データ復元,Decryption、暗号化(S051)との対比
S053,鍵管理,暗号鍵の安全な管理,暗号化キーの生成・保管・廃棄,Key Management、暗号運用の要
S054,共通鍵暗号,同じ鍵で暗号化・復号,AESでのファイル暗号化,対称鍵暗号、公開鍵暗号(S055)との対比
S055,公開鍵暗号,異なる鍵で暗号化・復号,RSAでのデジタル署名,非対称鍵暗号、共通鍵暗号(S054)との対比
S056,ハッシュ値,データの固定長要約値,ファイルの改ざん検知用指紋,Message Digest、データ整合性確認
S057,MAC,メッセージ認証コード,データの改ざん・なりすまし検知,Message Authentication Code、HMAC
S058,乱数,予測困難な数値,暗号鍵生成での安全性確保,Random Number、予測不可能性重要
S059,エントロピー,乱数の予測困難性,パスワード強度の指標,情報理論、乱数品質指標
S060,PRNG,疑似乱数生成器,ソフトウェアでの乱数生成,Pseudo Random Number Generator
S061,HSM,ハードウェアセキュリティモジュール,暗号鍵の物理的安全保管,Hardware Security Module、改ざん耐性
S062,TPM,セキュリティチップ,PC内蔵の暗号処理・鍵保管チップ,Trusted Platform Module、BitLocker連携
S063,セキュアブート,安全な起動プロセス,OS起動時の改ざん検証機能,デジタル署名検証、ルートキット対策
S064,UEFI,新世代BIOS,セキュア機能付きファームウェア,Unified Extensible Firmware Interface
S065,BitLocker,Windows暗号化機能,ハードディスク全体暗号化,Full Disk Encryption、TPM(S062)連携
S066,FileVault,macOS暗号化機能,Mac向けディスク暗号化,Apple独自、BitLocker(S065)との対比
S067,PGP,個人用暗号化ソフト,メール・ファイル暗号化,Pretty Good Privacy、GPG
S068,S/MIME,セキュアメール規格,メールの暗号化・デジタル署名,Secure MIME、メールセキュリティ
S069,DNSSEC,DNS応答の改ざん防止,ドメイン名解決の信頼性確保,DNS Security Extensions、DNS(N002)
S070,DKIM,メール送信者認証,メール改ざん・なりすまし防止,DomainKeys Identified Mail、SPF(S071)
S071,SPF,メール送信元認証,偽装メール送信の防止,Sender Policy Framework、DKIM(S070)
S072,DMARC,メール認証ポリシー,SPF・DKIM結果の処理方針,Domain Message Authentication Reporting
S073,セキュリティポリシー,組織のセキュリティ方針,従業員向けセキュリティルール,Security Policy、組織統制
S074,リスクアセスメント,脅威・脆弱性の評価,情報資産への危険度分析,Risk Assessment、リスク管理
S075,脆弱性診断,システムの弱点発見,Webアプリ・ネットワークの弱点調査,Vulnerability Assessment、セキュリティ診断
S076,ペネトレーションテスト,疑似攻撃による検証,実際の攻撃手法でのセキュリティ確認,Penetration Test、侵入テスト
S077,セキュリティ監査,セキュリティ状況の第三者評価,外部機関によるセキュリティチェック,Security Audit、客観的評価
S078,インシデント,セキュリティ事故,不正アクセス・情報漏洩等の事故,Security Incident、事故対応必要
S079,フォレンジック,デジタル鑑識,サイバー犯罪の電子的証拠収集,Digital Forensics、証拠保全
S080,ハニーポット,おとり罠システム,攻撃者誘引での攻撃手法解析,Honey Pot、攻撃観測
S081,サンドボックス,隔離実行環境,マルウェア解析・怪しいプログラム実行,隔離環境、安全な実行領域
S082,EDR,エンドポイント検知・対応,PC・サーバーでの高度脅威検知,Endpoint Detection and Response
S083,MDM,モバイル機器管理,スマホ・タブレットの一元管理,Mobile Device Management、BYOD対応
S084,CASB,クラウドセキュリティ仲介,クラウドサービス利用の可視化・制御,Cloud Access Security Broker
S085,ZTNA,ゼロトラストネットワークアクセス,「信用しない前提」のアクセス制御,Zero Trust Network Access
S086,SASE,セキュリティサービスエッジ,クラウド型統合セキュリティ,Secure Access Service Edge
S087,DevSecOps,開発・運用・セキュリティ統合,システム開発でのセキュリティ組込み,Development Security Operations
S088,バグバウンティ,脆弱性報奨金制度,外部研究者への脆弱性発見報酬,Bug Bounty、クラウドソーシング
S089,レッドチーム演習,攻撃側視点のセキュリティ訓練,組織的攻撃シナリオでの防御力評価,Red Team Exercise
S090,ブルーチーム演習,防御側視点のセキュリティ訓練,インシデント対応・復旧訓練,Blue Team Exercise、レッドチーム(S089)
S091,OSINT,公開情報収集,SNS・Webサイトでの情報収集,Open Source Intelligence、情報収集技術
S092,CTI,サイバー脅威インテリジェンス,攻撃者情報・手法の組織的収集分析,Cyber Threat Intelligence
S093,IOC,侵害痕跡指標,攻撃・感染の痕跡情報,Indicator of Compromise、フォレンジック(S079)
S094,YARA,マルウェア検知ルール記述,マルウェアパターン定義言語,Yet Another Recursive Acronym
S095,STIX/TAXII,脅威情報共有規格,組織間でのサイバー脅威情報交換,Structured Threat Information eXpression
S096,MITRE ATT&CK,攻撃手法分類フレームワーク,サイバー攻撃戦術・技術の体系化,攻撃手法データベース
S097,CWE,脆弱性分類,ソフトウェア脆弱性の種類・対策体系,Common Weakness Enumeration
S098,CVE,脆弱性識別番号,個別脆弱性の一意識別子,Common Vulnerabilities and Exposures
S099,CVSS,脆弱性評価指標,脆弱性の深刻度数値化,Common Vulnerability Scoring System
S100,NVD,脆弱性情報データベース,米国政府管理の脆弱性情報集約,National Vulnerability Database
